GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
127544	9.75e-126	1.54e-128	0.21	24.120059	5.0537794	25230.16	RNF19B	ring finger protein 19B
3576	1.50e-125	2.44e-128	0.29	24.101028	6.9835408	136969.68	CXCL8	C-X-C motif chemokine ligand 8
79993	1.42e-124	2.39e-127	0.247	24.006331	5.9226378	3719.06	ELOVL7	ELOVL fatty acid elongase 7
3075	8.39e-123	1.45e-125	0.395	23.834867	9.4036685	11164.91	CFH	complement factor H
246778	7.62e-121	1.36e-123	0.298	23.644015	7.0502608	1137.85	IL27	interleukin 27
730249	3.03e-116	5.56e-119	0.718	23.191393	16.6520687	89263.18	ACOD1	aconitate decarboxylase 1
3624	8.08e-116	1.52e-118	0.413	23.148	9.5602735	8733.6	INHBA	inhibin subunit beta A
54567	8.38e-104	1.62e-106	0.333	21.92141	7.305577	14953.6	DLL4	delta like canonical Notch ligand 4
79931	1.76e-103	3.50e-106	0.46	21.886376	10.071083	2486.53	TNIP3	TNFAIP3 interacting protein 3
716	4.81e-103	9.81e-106	0.274	21.839348	5.9860932	1995.64	C1S	complement C1s
3601	4.29e-101	8.95e-104	0.351	21.632135	7.5969142	8653.33	IL15RA	interleukin 15 receptor subunit alpha
115361	7.19e-101	1.54e-103	0.357	21.60715	7.7139578	111631.78	GBP4	guanylate binding protein 4
651746	9.61e-101	2.11e-103	0.305	21.59263	6.5924346	6488.61	ANKRD33B	ankyrin repeat domain 33B
107984200	1.49e-100	3.35e-103	0.351	21.571242	7.5745508	1974.31	LOC107984200	uncharacterized LOC107984200
9308	5.46e-100	1.25e-102	0.314	21.510107	6.74699	21040.82	CD83	CD83 molecule
135	1.20e-99	2.80e-102	0.416	21.472661	8.9260661	2612.85	ADORA2A	adenosine A2a receptor
105375690	1.13e-98	2.71e-101	0.303	21.366956	6.4792744	1518.24	LOC105375690	uncharacterized LOC105375690
355	3.37e-97	8.23e-100	0.3	21.206986	6.3669843	1746.46	FAS	Fas cell surface death receptor
105378085	7.25e-95	1.81e-97	0.317	20.951731	6.6363898	698.56	LOC105378085	uncharacterized LOC105378085
10318	1.50e-93	3.82e-96	0.235	20.805946	4.8855153	48521.77	TNIP1	TNFAIP3 interacting protein 1
25816	4.39e-92	1.14e-94	0.193	20.642438	3.9877168	16504.91	TNFAIP8	TNF alpha induced protein 8
958	4.87e-92	1.29e-94	0.308	20.636492	6.3506206	16717.74	CD40	CD40 molecule
3717	3.84e-91	1.04e-93	0.2	20.535455	4.103932	19288.53	JAK2	Janus kinase 2
91828	1.97e-90	5.43e-93	0.326	20.454966	6.6688483	1010.88	EXOC3L4	exocyst complex component 3 like 4
64332	2.69e-89	7.53e-92	0.269	20.326282	5.4608899	7791.47	NFKBIZ	NFKB inhibitor zeta
9953	2.57e-88	7.34e-91	0.24	20.214216	4.8469294	12510.18	HS3ST3B1	heparan sulfate-glucosamine 3-sulfotransferase 3B1
6890	3.56e-87	1.03e-89	0.258	20.083283	5.178048	110742.73	TAP1	transporter 1, ATP binding cassette subfamily B member
7124	4.44e-87	1.31e-89	0.339	20.071403	6.8000973	23417.9	TNF	tumor necrosis factor
64651	3.11e-84	9.35e-87	0.235	19.742284	4.6447325	11717.76	CSRNP1	cysteine and serine rich nuclear protein 1
6348	1.47e-83	4.48e-86	0.486	19.662931	9.5513776	49806.69	CCL3	C-C motif chemokine ligand 3
3383	3.65e-83	1.13e-85	0.265	19.615753	5.2068603	51743.04	ICAM1	intercellular adhesion molecule 1
93082	4.42e-83	1.40e-85	0.513	19.60513	10.0604255	2481.96	NEURL3	neuralized E3 ubiquitin protein ligase 3
80833	2.62e-82	8.40e-85	0.32	19.513694	6.2375754	11992.6	APOL3	apolipoprotein L3
283651	1.24e-81	4.06e-84	0.28	19.433049	5.4490228	698.41	HMGN2P46	high mobility group nucleosomal binding domain 2 pseudogene 46
5618	2.13e-81	7.05e-84	0.287	19.404639	5.5684667	1480.36	PRLR	prolactin receptor
101929319	5.15e-81	1.73e-83	0.481	19.358391	9.3180391	1386.73	LOC101929319	uncharacterized LOC101929319
116984	6.84e-81	2.34e-83	0.361	19.34296	6.9733965	2761.85	ARAP2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2
8651	6.99e-81	2.42e-83	0.394	19.341095	7.621818	2925.91	SOCS1	suppressor of cytokine signaling 1
102723761	8.89e-81	3.13e-83	0.347	19.327945	6.7004364	697.85	LINC02773	long intergenic non-protein coding RNA 2773
941	5.47e-80	1.95e-82	0.522	19.233255	10.0328062	8632.08	CD80	CD80 molecule
23180	6.36e-80	2.30e-82	0.233	19.224654	4.4800233	19653.13	RFTN1	raftlin, lipid raft linker 1
10906	1.53e-79	5.61e-82	0.203	19.178349	3.8900284	17280.05	TRAFD1	TRAF-type zinc finger domain containing 1
9945	2.22e-79	8.26e-82	0.453	19.158252	8.6691673	6685.22	GFPT2	glutamine-fructose-6-phosphate transaminase 2
7127	1.90e-78	7.17e-81	0.369	19.045405	7.0215396	278104.75	TNFAIP2	TNF alpha induced protein 2
255488	1.07e-77	4.07e-80	0.344	18.954246	6.5283858	3260.18	RNF144B	ring finger protein 144B
6773	3.16e-77	1.22e-79	0.202	18.8963	3.8141093	83611.98	STAT2	signal transducer and activator of transcription 2
8828	3.74e-77	1.47e-79	0.253	18.886745	4.774217	15448.29	NRP2	neuropilin 2
2919	6.94e-77	2.76e-79	0.343	18.853333	6.4630362	14530.31	CXCL1	C-X-C motif chemokine ligand 1
3656	1.60e-75	6.43e-78	0.296	18.686034	5.5370597	3794.05	IRAK2	interleukin 1 receptor associated kinase 2
445815	5.45e-75	2.22e-77	0.234	18.619753	4.3615123	19611.46	PALM2AKAP2	PALM2 and AKAP2 fusion
3696	5.44e-74	2.25e-76	0.442	18.49543	8.183114	18544.86	ITGB8	integrin subunit beta 8
140707	3.31e-73	1.38e-75	0.179	-18.397175	-3.2884985	3760.29	BRI3BP	BRI3 binding protein
3569	1.81e-72	7.65e-75	0.716	18.304288	13.1006864	6358.96	IL6	interleukin 6
11182	1.32e-71	5.64e-74	0.241	18.195098	4.3816758	8051.3	SLC2A6	solute carrier family 2 member 6
114614	3.61e-71	1.57e-73	0.291	18.139091	5.2812171	4231.38	MIR155HG	MIR155 host gene
8767	7.51e-71	3.29e-73	0.191	18.098195	3.4649206	6033.32	RIPK2	receptor interacting serine/threonine kinase 2
3575	8.58e-71	3.80e-73	0.331	18.090259	5.9932362	49654.55	IL7R	interleukin 7 receptor
55509	1.14e-70	5.13e-73	0.357	18.073802	6.4590713	618.91	BATF3	basic leucine zipper ATF-like transcription factor 3
3659	1.10e-69	4.97e-72	0.273	17.948054	4.8985071	36446.52	IRF1	interferon regulatory factor 1
6504	7.07e-69	3.24e-71	0.472	17.843596	8.4165782	2330.43	SLAMF1	signaling lymphocytic activation molecule family member 1
51251	1.63e-68	7.58e-71	0.229	17.796083	4.0665104	5613.29	NT5C3A	5'-nucleotidase, cytosolic IIIA
101926887	8.58e-68	4.02e-70	0.368	17.702354	6.5212639	1118.84	LOC101926887	uncharacterized LOC101926887
4791	1.10e-67	5.23e-70	0.23	17.687505	4.0625896	13928.69	NFKB2	nuclear factor kappa B subunit 2
646023	6.86e-67	3.28e-69	0.498	17.583698	8.7514957	686.99	ADORA2A-AS1	ADORA2A antisense RNA 1
10938	7.87e-67	3.81e-69	0.323	17.575246	5.6817023	18653.92	EHD1	EH domain containing 1
8633	9.94e-67	4.87e-69	0.279	17.56141	4.8968882	2461.45	UNC5C	unc-5 netrin receptor C
112268267	1.02e-66	5.05e-69	0.378	17.559321	6.6406693	8949.04	LOC112268267	uncharacterized LOC112268267
8837	1.65e-66	8.23e-69	0.213	17.531524	3.7282564	43741.04	CFLAR	CASP8 and FADD like apoptosis regulator
441168	3.34e-66	1.69e-68	0.372	17.490701	6.5090999	7825.38	CALHM6	calcium homeostasis modulator family member 6
118932	5.28e-66	2.69e-68	0.408	17.464093	7.1335255	4342.79	ANKRD22	ankyrin repeat domain 22
3600	5.37e-66	2.77e-68	0.332	17.462492	5.7978559	1087.17	IL15	interleukin 15
6398	5.44e-66	2.83e-68	0.21	17.461229	3.6631544	4988.09	SECTM1	secreted and transmembrane 1
27033	1.70e-65	8.94e-68	0.381	17.395388	6.6333909	405.92	ZBTB32	zinc finger and BTB domain containing 32
55332	4.07e-65	2.16e-67	0.292	17.344807	5.0728415	15141.1	DRAM1	DNA damage regulated autophagy modulator 1
92521	1.37e-64	7.31e-67	0.215	-17.274598	-3.7067247	1671.67	SPECC1	sperm antigen with calponin homology and coiled-coil domains 1
5371	1.55e-64	8.38e-67	0.209	17.266692	3.6003669	21531.3	PML	PML nuclear body scaffold
105378841	1.82e-64	9.94e-67	0.332	17.25684	5.7330505	430.67	LOC105378841	uncharacterized LOC105378841
221079	8.20e-64	4.51e-66	0.249	17.169242	4.273491	8190.08	ARL5B	ADP ribosylation factor like GTPase 5B
713	1.03e-63	5.70e-66	0.472	17.155643	8.1054054	998.36	C1QB	complement C1q B chain
135112	1.65e-63	9.23e-66	0.209	17.12766	3.5776869	21211.42	NCOA7	nuclear receptor coactivator 7
25841	2.26e-63	1.28e-65	0.351	17.108692	6.0090706	5357.09	ABTB2	ankyrin repeat and BTB domain containing 2
23764	3.19e-63	1.82e-65	0.246	17.088086	4.2052595	2510.31	MAFF	MAF bZIP transcription factor F
715	4.85e-63	2.79e-65	0.362	17.063155	6.1823218	1043.42	C1R	complement C1r
3662	8.47e-63	4.92e-65	0.537	17.029989	9.1477192	1148.65	IRF4	interferon regulatory factor 4
2045	8.62e-63	5.05e-65	0.306	17.028423	5.2104584	1141.97	EPHA7	EPH receptor A7
8710	9.46e-63	5.59e-65	0.601	17.022523	10.2266505	1213.39	SERPINB7	serpin family B member 7
1117	2.88e-62	1.72e-64	0.56	16.956629	9.4918331	2812.07	CHI3L2	chitinase 3 like 2
6372	3.79e-62	2.28e-64	0.286	16.940047	4.8507275	1144.58	CXCL6	C-X-C motif chemokine ligand 6
4790	4.23e-62	2.57e-64	0.263	16.93307	4.4498434	23460.01	NFKB1	nuclear factor kappa B subunit 1
79132	9.80e-62	5.99e-64	0.226	16.883081	3.8236765	8634.26	DHX58	DExH-box helicase 58
3552	3.45e-61	2.13e-63	0.418	16.808136	7.0340084	533.43	IL1A	interleukin 1 alpha
51421	8.11e-61	5.04e-63	0.387	16.756876	6.4845819	2075.64	AMOTL2	angiomotin like 2
152926	1.02e-60	6.39e-63	0.292	16.742769	4.8961525	14885.83	PPM1K	protein phosphatase, Mg2+/Mn2+ dependent 1K
65072	4.26e-60	2.69e-62	0.244	16.657022	4.067492	1948.66	CFLAR-AS1	CFLAR antisense RNA 1
51191	4.40e-60	2.80e-62	0.304	16.654622	5.0581865	16641.76	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5
843	7.20e-60	4.62e-62	0.178	16.624614	2.9661177	3694.16	CASP10	caspase 10
5734	8.36e-60	5.42e-62	0.257	16.615031	4.2686447	17312.07	PTGER4	prostaglandin E receptor 4
415116	8.36e-60	5.45e-62	0.227	16.614718	3.7660291	11548.35	PIM3	Pim-3 proto-oncogene, serine/threonine kinase
2887	2.24e-59	1.47e-61	0.232	16.555031	3.8333545	2069.52	GRB10	growth factor receptor bound protein 10
100506585	2.36e-59	1.56e-61	0.366	-16.551435	-6.0651331	494.44	PTPRN2-AS1	PTPRN2 antisense RNA 1
8809	5.18e-59	3.46e-61	0.292	16.503566	4.8110013	344.94	IL18R1	interleukin 18 receptor 1
26270	1.87e-58	1.26e-60	0.263	16.425359	4.3199661	3261.28	FBXO6	F-box protein 6
6352	2.87e-58	1.95e-60	0.335	16.398957	5.5005552	252906.07	CCL5	C-C motif chemokine ligand 5
105373582	4.25e-58	2.90e-60	0.43	16.374647	7.0435665	500.99	LOC105373582	uncharacterized LOC105373582
952	4.43e-58	3.05e-60	0.369	16.371599	6.0423738	11285.16	CD38	CD38 molecule
8717	9.16e-58	6.35e-60	0.199	16.32696	3.2452429	2610.27	TRADD	TNFRSF1A associated via death domain
440465	8.54e-57	5.97e-59	0.226	-16.189667	-3.6653056	2300.58	BAIAP2-DT	BAIAP2 divergent transcript
51232	9.23e-57	6.49e-59	0.239	16.184432	3.870975	2765.07	CRIM1	cysteine rich transmembrane BMP regulator 1
23780	1.42e-56	1.00e-58	0.281	16.157547	4.5429442	25661.63	APOL2	apolipoprotein L2
91351	1.62e-56	1.16e-58	0.229	16.148893	3.6941806	41738.77	DDX60L	DExD/H-box 60 like
51513	1.98e-56	1.42e-58	0.46	16.136114	7.4290028	7085.89	ETV7	ETS variant transcription factor 7
3097	4.61e-56	3.34e-58	0.349	16.083353	5.6061609	10167.25	HIVEP2	HIVEP zinc finger 2
440896	5.46e-56	3.98e-58	0.407	16.072494	6.5426076	1157.25	LINC03025	long intergenic non-protein coding RNA 3025
51561	7.31e-56	5.36e-58	0.428	16.053947	6.8698077	7372.08	IL23A	interleukin 23 subunit alpha
57121	1.00e-55	7.42e-58	0.304	-16.033796	-4.8707583	522.49	LPAR5	lysophosphatidic acid receptor 5
6891	3.41e-55	2.54e-57	0.209	15.957255	3.3325314	43946.79	TAP2	transporter 2, ATP binding cassette subfamily B member
140691	6.37e-55	4.77e-57	0.277	15.917718	4.4127646	499.8	TRIM69	tripartite motif containing 69
126820	1.13e-54	8.54e-57	0.361	15.881278	5.7387936	717.62	DNAI3	dynein axonemal intermediate chain 3
64761	1.46e-54	1.11e-56	0.22	15.865067	3.4883185	12580.85	PARP12	poly(ADP-ribose) polymerase family member 12
23151	3.07e-54	2.35e-56	0.229	-15.817693	-3.6245172	5091.46	GRAMD4	GRAM domain containing 4
30009	4.05e-54	3.12e-56	0.575	15.799863	9.0861407	1962.94	TBX21	T-box transcription factor 21
9334	4.15e-54	3.21e-56	0.251	15.797963	3.9674208	25433.11	B4GALT5	beta-1,4-galactosyltransferase 5
11044	4.94e-54	3.85e-56	0.201	15.786553	3.1737641	4994.91	TENT4A	terminal nucleotidyltransferase 4A
3082	1.07e-53	8.39e-56	0.27	15.737322	4.2509031	319.11	HGF	hepatocyte growth factor
710	1.10e-53	8.69e-56	0.375	15.735127	5.8958507	5846.42	SERPING1	serpin family G member 1
9026	1.14e-53	9.04e-56	0.283	15.732643	4.4519645	2336.33	HIP1R	huntingtin interacting protein 1 related
3985	2.03e-53	1.62e-55	0.348	15.695587	5.4676473	9867.67	LIMK2	LIM domain kinase 2
56983	2.62e-53	2.11e-55	0.197	15.678883	3.0893011	4051.34	POGLUT1	protein O-glucosyltransferase 1
54518	3.17e-53	2.57e-55	0.244	-15.666424	-3.8215731	3527.49	APBB1IP	amyloid beta precursor protein binding family B member 1 interacting protein
340654	3.95e-53	3.22e-55	0.442	15.652025	6.9150522	768.41	LIPM	lipase family member M
27253	6.06e-53	4.98e-55	0.412	15.62428	6.4317045	3082.43	PCDH17	protocadherin 17
114897	1.97e-52	1.63e-54	0.438	15.54843	6.8086134	343.55	C1QTNF1	C1q and TNF related 1
256957	2.09e-52	1.74e-54	0.46	15.544384	7.1439248	575.23	HEATR9	HEAT repeat containing 9
24141	2.50e-52	2.09e-54	0.237	15.532451	3.6869491	615.43	LAMP5	lysosomal associated membrane protein family member 5
9423	5.67e-52	4.77e-54	0.364	15.479506	5.6272985	1403.89	NTN1	netrin 1
6364	5.70e-52	4.82e-54	0.437	15.4788	6.7572245	5550.81	CCL20	C-C motif chemokine ligand 20
400499	6.09e-52	5.19e-54	0.296	15.474126	4.5769271	334.19	LOC400499	putative uncharacterized protein LOC400499
2635	6.36e-52	5.44e-54	0.252	15.471026	3.8948201	11177.57	GBP3	guanylate binding protein 3
80830	1.06e-51	9.16e-54	0.24	15.437453	3.7049176	48564.69	APOL6	apolipoprotein L6
3557	1.14e-51	9.90e-54	0.27	15.432478	4.1726747	25759.58	IL1RN	interleukin 1 receptor antagonist
105376714	1.79e-51	1.56e-53	0.289	15.403276	4.4475114	413.28	LOC105376714	uncharacterized LOC105376714
101928716	1.87e-51	1.64e-53	0.187	15.399882	2.8738356	991.51	SUGCT-AS1	SUGCT antisense RNA 1
81894	3.36e-51	2.96e-53	0.252	15.361636	3.8787647	6396.59	SLC25A28	solute carrier family 25 member 28
6752	6.70e-51	5.94e-53	0.474	15.316383	7.2581766	5047.94	SSTR2	somatostatin receptor 2
84631	7.85e-51	7.01e-53	0.246	15.30569	3.7705517	1477.32	SLITRK2	SLIT and NTRK like family member 2
27143	9.66e-51	8.66e-53	0.318	-15.291863	-4.8556216	445.72	PALD1	phosphatase domain containing paladin 1
366	1.09e-50	9.82e-53	0.46	15.283698	7.028073	2018.45	AQP9	aquaporin 9
83439	1.15e-50	1.04e-52	0.245	15.279951	3.7439707	480.38	TCF7L1	transcription factor 7 like 1
51301	1.24e-50	1.13e-52	0.37	15.274352	5.646787	744.92	GCNT4	glucosaminyl (N-acetyl) transferase 4
9542	1.65e-50	1.52e-52	0.49	15.255312	7.4720309	623.31	NRG2	neuregulin 2
79735	2.35e-50	2.17e-52	0.246	15.232014	3.7464341	10682.49	TBC1D17	TBC1 domain family member 17
105378443	3.22e-50	2.98e-52	0.227	15.211108	3.4537659	3888.42	LOC105378443	uncharacterized LOC105378443
7447	4.77e-50	4.45e-52	0.425	15.184884	6.4559505	1041.94	VSNL1	visinin like 1
3574	1.71e-49	1.60e-51	0.654	15.100809	9.8693349	811.72	IL7	interleukin 7
57162	2.21e-49	2.08e-51	0.285	15.083328	4.3039317	8381.76	PELI1	pellino E3 ubiquitin protein ligase 1
9603	3.21e-49	3.04e-51	0.262	15.058385	3.9435361	2480.23	NFE2L3	NFE2 like bZIP transcription factor 3
9674	3.50e-49	3.33e-51	0.275	15.052301	4.1323611	8627.85	KIAA0040	KIAA0040
282566	4.28e-49	4.10e-51	0.411	15.038611	6.1745583	275.66	LINC00515	long intergenic non-protein coding RNA 515
8676	6.10e-49	5.88e-51	0.312	15.014738	4.6869301	8795.22	STX11	syntaxin 11
467	8.76e-49	8.48e-51	0.303	14.990418	4.5375532	13888.54	ATF3	activating transcription factor 3
388646	9.71e-49	9.46e-51	0.496	14.983195	7.4337937	402.36	GBP7	guanylate binding protein 7
105371082	9.97e-49	9.75e-51	0.36	14.981144	5.398172	268.6	LOC105371082	uncharacterized LOC105371082
6506	1.20e-48	1.18e-50	0.458	14.968406	6.862954	289.5	SLC1A2	solute carrier family 1 member 2
59350	1.89e-48	1.87e-50	0.393	14.937791	5.8740825	7453.35	RXFP1	relaxin family peptide receptor 1
29933	1.89e-48	1.88e-50	0.269	14.937381	4.0150053	15549.4	GPR132	G protein-coupled receptor 132
9263	3.18e-48	3.18e-50	0.199	14.902493	2.9700023	2936.81	STK17A	serine/threonine kinase 17a
54625	3.37e-48	3.38e-50	0.251	14.898325	3.7369588	68239.4	PARP14	poly(ADP-ribose) polymerase family member 14
3587	7.02e-48	7.08e-50	0.25	14.848816	3.7091759	33958.04	IL10RA	interleukin 10 receptor subunit alpha
2920	7.21e-48	7.32e-50	0.369	14.846628	5.4854524	2966.12	CXCL2	C-X-C motif chemokine ligand 2
4094	1.05e-47	1.07e-49	0.21	-14.820873	-3.1060548	1844.66	MAF	MAF bZIP transcription factor
102724850	1.35e-47	1.38e-49	0.583	14.803937	8.6253322	2185.47	CCL3-AS1	CCL3 antisense RNA 1
6347	1.91e-47	1.97e-49	0.502	14.780109	7.4240675	21161.26	CCL2	C-C motif chemokine ligand 2
107986655	1.99e-47	2.06e-49	0.676	14.776997	9.984631	2045.08	HIVEP2-DT	HIVEP2 divergent transcript
22996	2.29e-47	2.38e-49	0.283	14.767399	4.1826148	668.72	TTC39A	tetratricopeptide repeat domain 39A
1999	5.70e-47	5.96e-49	0.412	14.705338	6.0519453	389.43	ELF3	E74 like ETS transcription factor 3
148932	6.66e-47	6.99e-49	0.19	14.694532	2.7873454	3142.74	MOB3C	MOB kinase activator 3C
597	7.90e-47	8.34e-49	0.38	14.682565	5.5838523	13750.26	BCL2A1	BCL2 related protein A1
8989	8.71e-47	9.24e-49	0.196	14.675626	2.8771691	1295.11	TRPA1	transient receptor potential cation channel subfamily A member 1
102723539	1.17e-46	1.25e-48	0.325	14.655276	4.7618318	465.25	LOC102723539	
9447	2.53e-46	2.70e-48	0.39	14.602578	5.6956994	3122.53	AIM2	absent in melanoma 2
5330	2.82e-46	3.04e-48	0.2	-14.594656	-2.9241856	8296.69	PLCB2	phospholipase C beta 2
1050	3.15e-46	3.40e-48	0.214	-14.586932	-3.1249702	9822.33	CEBPA	CCAAT enhancer binding protein alpha
1879	3.67e-46	3.99e-48	0.281	14.576054	4.091896	1452.83	EBF1	EBF transcription factor 1
5027	3.75e-46	4.09e-48	0.413	14.574363	6.0201726	11167.25	P2RX7	purinergic receptor P2X 7
23033	5.62e-46	6.16e-48	0.19	14.546323	2.7627736	6021.43	DOP1A	DOP1 leucine zipper like protein A
840	9.82e-46	1.08e-47	0.239	14.50781	3.4647384	6288.11	CASP7	caspase 7
80832	1.20e-45	1.33e-47	0.573	14.493532	8.3019608	1009.05	APOL4	apolipoprotein L4
8870	1.49e-45	1.66e-47	0.318	14.478412	4.6001866	7441.98	IER3	immediate early response 3
10371	1.99e-45	2.22e-47	0.387	14.458417	5.589604	3226.74	SEMA3A	semaphorin 3A
51667	2.35e-45	2.65e-47	0.26	14.446148	3.7611845	18800.53	NUB1	negative regulator of ubiquitin like proteins 1
6788	2.35e-45	2.64e-47	0.178	14.446337	2.5721442	3696.69	STK3	serine/threonine kinase 3
55809	2.51e-45	2.84e-47	0.247	-14.44135	-3.561661	2360.36	TRERF1	transcriptional regulating factor 1
79792	4.85e-45	5.52e-47	0.17	14.395579	2.4404854	9002.47	GSDMD	gasdermin D
56920	5.40e-45	6.16e-47	0.351	-14.387888	-5.054716	329.72	SEMA3G	semaphorin 3G
3805	6.00e-45	6.88e-47	0.392	14.380327	5.6311504	651.09	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4
112476	8.85e-45	1.02e-46	0.435	14.353083	6.2422238	300	PRRT2	proline rich transmembrane protein 2
25819	9.45e-45	1.09e-46	0.275	14.348181	3.9519019	2909.89	NOCT	nocturnin
2921	1.20e-44	1.40e-46	0.362	14.331114	5.1900286	2581	CXCL3	C-X-C motif chemokine ligand 3
838	1.32e-44	1.54e-46	0.428	14.324211	6.1343747	2732.09	CASP5	caspase 5
629	2.43e-44	2.84e-46	0.333	14.281757	4.7602892	7139.19	CFB	complement factor B
23424	4.52e-44	5.33e-46	0.234	14.237947	3.3358348	9823.43	TDRD7	tudor domain containing 7
84815	5.49e-44	6.49e-46	0.319	14.224103	4.5387949	797.32	MGC12916	uncharacterized protein MGC12916
960	5.58e-44	6.62e-46	0.321	14.222734	4.5697676	96008.15	CD44	CD44 molecule (Indian blood group)
1843	5.60e-44	6.67e-46	0.285	14.222178	4.0571043	13679.12	DUSP1	dual specificity phosphatase 1
23070	5.84e-44	7.00e-46	0.195	14.218885	2.7668002	20820.37	CMTR1	cap methyltransferase 1
90634	8.85e-44	1.06e-45	0.293	14.189455	4.1611148	6299.42	N4BP2L1	NEDD4 binding protein 2 like 1
101929709	9.52e-44	1.15e-45	0.215	14.184028	3.0514576	452.62	RIPK2-DT	RIPK2 divergent transcript
1540	1.62e-43	1.96e-45	0.217	14.146461	3.0650214	15546.74	CYLD	CYLD lysine 63 deubiquitinase
219537	1.62e-43	1.97e-45	0.38	14.1461	5.3799882	347.02	SMTNL1	smoothelin like 1
8728	1.65e-43	2.02e-45	0.44	14.144415	6.2288428	8881.33	ADAM19	ADAM metallopeptidase domain 19
2178	1.87e-43	2.29e-45	0.202	-14.135588	-2.8501518	1064.42	FANCE	FA complementation group E
219285	2.24e-43	2.77e-45	0.307	14.12237	4.33041	62516.13	SAMD9L	sterile alpha motif domain containing 9 like
57655	2.51e-43	3.11e-45	0.284	14.114152	4.0105496	11977.25	GRAMD1A	GRAM domain containing 1A
85441	3.19e-43	3.97e-45	0.307	14.096931	4.3325245	43088.25	HELZ2	helicase with zinc finger 2
1490	3.35e-43	4.18e-45	0.466	14.093282	6.5663924	2919.99	CCN2	cellular communication network factor 2
441108	4.86e-43	6.09e-45	0.241	14.0666	3.3945243	329.52	IRF1-AS1	IRF1 antisense RNA 1
